antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'clicks_forumng_low'}),frozenset({'Result_Fail'}),0.3308536358564255,0.3022131299981402,0.16105635112516273,0.4867903316469927,1.6107517620097722,0.061068038261727464,1.359652619642178,0.5666501276690797
frozenset({'Result_Fail'}),frozenset({'clicks_forumng_low'}),0.3022131299981402,0.3308536358564255,0.16105635112516273,0.5329230769230769,1.6107517620097722,0.061068038261727464,1.4326256149318952,0.5433921000408712
frozenset({'clicks_homepage_low'}),frozenset({'Result_Fail'}),0.3302957039241213,0.3022131299981402,0.1913706527803608,0.5793918918918919,1.9171632016632019,0.09155095427251311,1.6589952893216908,0.7143391493940379
frozenset({'Result_Fail'}),frozenset({'clicks_homepage_low'}),0.3022131299981402,0.3302957039241213,0.1913706527803608,0.6332307692307693,1.9171632016632016,0.09155095427251311,1.8259555052404415,0.6855904256311114
frozenset({'clicks_oucontent_low'}),frozenset({'Result_Fail'}),0.34350009298865536,0.3022131299981402,0.1748186721220011,0.5089334055224689,1.684021490150348,0.07100843386524736,1.4209617959133793,0.618710445422217
frozenset({'Result_Fail'}),frozenset({'clicks_oucontent_low'}),0.3022131299981402,0.34350009298865536,0.1748186721220011,0.5784615384615385,1.6840214901503479,0.07100843386524736,1.5573902903553796,0.5821023113913715
frozenset({'Result_Fail'}),frozenset({'clicks_quiz_low'}),0.3022131299981402,0.3362469778687,0.21089827041100986,0.6978461538461539,2.0753975493533017,0.10928001877689465,2.196738617033325,0.7425829093384175
frozenset({'clicks_quiz_low'}),frozenset({'Result_Fail'}),0.3362469778687,0.3022131299981402,0.21089827041100986,0.627212389380531,2.075397549353302,0.10928001877689465,1.8718081023195292,0.7806587491840131
frozenset({'Result_Pass'}),frozenset({'clicks_forumng_high'}),0.5718802306118653,0.3299237493025851,0.2170355216663567,0.3795121951219512,1.1503027469959028,0.028358651830863085,1.0799184857937898,0.3052034779190554
frozenset({'clicks_forumng_high'}),frozenset({'Result_Pass'}),0.3299237493025851,0.5718802306118653,0.2170355216663567,0.657835400225479,1.1503027469959028,0.028358651830863085,1.2512100014737244,0.19499816990554136
frozenset({'clicks_forumng_low'}),frozenset({'Result_Pass'}),0.3308536358564255,0.5718802306118653,0.15510507718058397,0.4688026981450253,0.8197567830653012,-0.03410357639176276,0.8059524547529011,-0.24732168321026268
frozenset({'Result_Pass'}),frozenset({'clicks_forumng_low'}),0.5718802306118653,0.3308536358564255,0.15510507718058397,0.27121951219512197,0.8197567830653012,-0.03410357639176276,0.9181727218837534,-0.33931500838817896
frozenset({'Result_Pass'}),frozenset({'clicks_forumng_medium'}),0.5718802306118653,0.3392226148409894,0.19973963176492468,0.34926829268292686,1.0296138211382113,0.005744924560899672,1.0154375109265157,0.06718228987181403
frozenset({'clicks_forumng_medium'}),frozenset({'Result_Pass'}),0.3392226148409894,0.5718802306118653,0.19973963176492468,0.5888157894736842,1.0296138211382113,0.005744924560899672,1.0411872791519434,0.04352761927523668
frozenset({'clicks_homepage_high'}),frozenset({'Result_Pass'}),0.3286219081272085,0.5718802306118653,0.2226148409893993,0.6774193548387096,1.1845476003147128,0.0346824683855001,1.3271712851032174,0.23205381875742
frozenset({'Result_Pass'}),frozenset({'clicks_homepage_high'}),0.5718802306118653,0.3286219081272085,0.2226148409893993,0.38926829268292684,1.1845476003147128,0.0346824683855001,1.0993011887693471,0.3639071614744944
frozenset({'clicks_homepage_low'}),frozenset({'Result_Pass'}),0.3302957039241213,0.5718802306118653,0.12869629905151572,0.38963963963963966,0.6813308430381602,-0.060193284278719145,0.7014213195879402,-0.4112075776993947
frozenset({'Result_Pass'}),frozenset({'clicks_homepage_low'}),0.5718802306118653,0.3302957039241213,0.12869629905151572,0.2250406504065041,0.6813308430381602,-0.060193284278719145,0.8641799036648458,-0.5221000210002099
frozenset({'clicks_homepage_medium'}),frozenset({'Result_Pass'}),0.34108238794867024,0.5718802306118653,0.22056909057095034,0.6466739367502726,1.1307856123272246,0.025510815893219074,1.2116846559534553,0.17552887935691544
frozenset({'Result_Pass'}),frozenset({'clicks_homepage_medium'}),0.5718802306118653,0.34108238794867024,0.22056909057095034,0.3856910569105691,1.1307856123272246,0.025510815893219074,1.0726160175001795,0.27015587296331517
frozenset({'clicks_oucontent_high'}),frozenset({'Result_Pass'}),0.3267621350195276,0.5718802306118653,0.2187093174632695,0.6693227091633467,1.1703896608687203,0.03184051233307658,1.294675447185805,0.21624408050513044
frozenset({'Result_Pass'}),frozenset({'clicks_oucontent_high'}),0.5718802306118653,0.3267621350195276,0.2187093174632695,0.38243902439024396,1.1703896608687205,0.03184051233307658,1.0901561004818079,0.34005368002978814
frozenset({'clicks_oucontent_low'}),frozenset({'Result_Pass'}),0.34350009298865536,0.5718802306118653,0.1396689603868328,0.4066053059014618,0.7109973105145236,-0.056771952006716614,0.7214755602736175,-0.38239383397927695
frozenset({'Result_Pass'}),frozenset({'clicks_oucontent_low'}),0.5718802306118653,0.34350009298865536,0.1396689603868328,0.24422764227642277,0.7109973105145238,-0.056771952006716614,0.8686476824698299,-0.4870328170434988
frozenset({'Result_Pass'}),frozenset({'clicks_oucontent_medium'}),0.5718802306118653,0.329737771991817,0.21350195276176306,0.37333333333333335,1.132212821959015,0.024931439673640116,1.069567385119441,0.27275971205163246
frozenset({'clicks_oucontent_medium'}),frozenset({'Result_Pass'}),0.329737771991817,0.5718802306118653,0.21350195276176306,0.6474901297236323,1.1322128219590148,0.024931439673640116,1.2144901618002606,0.17422110353575412
frozenset({'clicks_quiz_high'}),frozenset({'Result_Pass'}),0.3269481123302957,0.5718802306118653,0.22689231913706528,0.6939704209328783,1.2134890905223046,0.039917157259501734,1.398948986216247,0.2613913815518281
frozenset({'Result_Pass'}),frozenset({'clicks_quiz_high'}),0.5718802306118653,0.3269481123302957,0.22689231913706528,0.39674796747967483,1.2134890905223048,0.039917157259501734,1.1157059593446579,0.4109363205195769
frozenset({'clicks_quiz_low'}),frozenset({'Result_Pass'}),0.3362469778687,0.5718802306118653,0.11344615956853264,0.3373893805309735,0.5899651054032665,-0.0788468396775623,0.6461106369396892,-0.5115039760182376
frozenset({'clicks_quiz_medium'}),frozenset({'Result_Pass'}),0.3368049098010043,0.5718802306118653,0.23154175190626744,0.6874654886802871,1.202114449637042,0.03892968241806061,1.3698319829715757,0.253518842616681
frozenset({'Result_Pass'}),frozenset({'clicks_quiz_medium'}),0.5718802306118653,0.3368049098010043,0.23154175190626744,0.40487804878048783,1.202114449637042,0.03892968241806061,1.1143851925474928,0.3927229334366136
frozenset({'clicks_homepage_high'}),frozenset({'clicks_forumng_high'}),0.3286219081272085,0.3299237493025851,0.23860888971545471,0.7260894170911149,2.2007794789734634,0.13018871768315643,2.446332097070934,0.8126799852319808
frozenset({'clicks_forumng_high'}),frozenset({'clicks_homepage_high'}),0.3299237493025851,0.3286219081272085,0.23860888971545471,0.7232243517474632,2.2007794789734634,0.13018871768315643,2.425712291206378,0.8142588805682629
frozenset({'clicks_oucontent_low'}),frozenset({'clicks_forumng_high'}),0.34350009298865536,0.3299237493025851,0.11976938813464758,0.34867352463454254,1.056830632446412,0.006440549570043766,1.0287870615445764,0.0819110376013935
frozenset({'clicks_forumng_high'}),frozenset({'clicks_oucontent_low'}),0.3299237493025851,0.34350009298865536,0.11976938813464758,0.36302142051860203,1.056830632446412,0.006440549570043766,1.0306467566709074,0.08025144677571996
frozenset({'clicks_forumng_high'}),frozenset({'clicks_oucontent_medium'}),0.3299237493025851,0.329737771991817,0.11456202343314116,0.3472378804960541,1.0530728050915301,0.005773701410919971,1.026809319936543,0.07521239515411048
frozenset({'clicks_oucontent_medium'}),frozenset({'clicks_forumng_high'}),0.329737771991817,0.3299237493025851,0.11456202343314116,0.34743372814438805,1.0530728050915301,0.005773701410919971,1.026832491345304,0.07519152601006106
frozenset({'clicks_quiz_high'}),frozenset({'clicks_forumng_high'}),0.3269481123302957,0.3299237493025851,0.15584898642365633,0.4766780432309443,1.4448127612473436,0.047981039376242415,1.280428313832669,0.4574220782518148
frozenset({'clicks_forumng_high'}),frozenset({'clicks_quiz_high'}),0.3299237493025851,0.3269481123302957,0.15584898642365633,0.47237880496054113,1.4448127612473434,0.047981039376242415,1.2756346674423666,0.45945337252104285
frozenset({'clicks_quiz_medium'}),frozenset({'clicks_forumng_high'}),0.3368049098010043,0.3299237493025851,0.13799516458992003,0.409718387631143,1.241857818654259,0.0268752259648537,1.1351806267661537,0.29366145975845537
frozenset({'clicks_forumng_high'}),frozenset({'clicks_quiz_medium'}),0.3299237493025851,0.3368049098010043,0.13799516458992003,0.4182638105975197,1.2418578186542593,0.0268752259648537,1.1400272190048628,0.290645785594963
frozenset({'clicks_forumng_low'}),frozenset({'clicks_homepage_low'}),0.3308536358564255,0.3302957039241213,0.2237307048540078,0.6762225969645869,2.0473248332649683,0.11445117030295485,2.0684096227760214,0.7644930198128913
frozenset({'clicks_homepage_low'}),frozenset({'clicks_forumng_low'}),0.3302957039241213,0.3308536358564255,0.2237307048540078,0.6773648648648648,2.047324833264968,0.11445117030295485,2.074003390434534,0.7638561192132137
frozenset({'clicks_oucontent_high'}),frozenset({'clicks_forumng_low'}),0.3267621350195276,0.3308536358564255,0.12776641249767529,0.3910073989755265,1.181813819163241,0.01965597206625634,1.098775852149776,0.22851214745832218
frozenset({'clicks_forumng_low'}),frozenset({'clicks_oucontent_high'}),0.3308536358564255,0.3267621350195276,0.12776641249767529,0.38617200674536256,1.181813819163241,0.01965597206625634,1.096785862454451,0.2299093868257717
frozenset({'clicks_forumng_low'}),frozenset({'clicks_oucontent_low'}),0.3308536358564255,0.34350009298865536,0.11326018225776455,0.342327150084317,0.9965853199801693,-0.0003880724245523409,0.9982165252762241,-0.00509443780018364
frozenset({'clicks_oucontent_low'}),frozenset({'clicks_forumng_low'}),0.34350009298865536,0.3308536358564255,0.11326018225776455,0.32972387655657825,0.9965853199801693,-0.0003880724245523409,0.9983144867311647,-0.0051920647481015865
frozenset({'clicks_forumng_low'}),frozenset({'clicks_quiz_low'}),0.3308536358564255,0.3362469778687,0.19992560907569276,0.6042720629567172,1.797107789003467,0.08867707390209832,1.677296344277816,0.6628599868143802
frozenset({'clicks_quiz_low'}),frozenset({'clicks_forumng_low'}),0.3362469778687,0.3308536358564255,0.19992560907569276,0.5945796460176991,1.797107789003467,0.08867707390209832,1.6505001724032502,0.668246072445542
frozenset({'clicks_homepage_low'}),frozenset({'clicks_forumng_medium'}),0.3302957039241213,0.3392226148409894,0.10005579319323042,0.3029279279279279,0.8930062875375373,-0.011987979162655246,0.9479326623928941,-0.15175469014893606
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_homepage_low'}),0.3392226148409894,0.3302957039241213,0.10005579319323042,0.29495614035087714,0.8930062875375373,-0.011987979162655246,0.9498760777934703,-0.15349017232094794
frozenset({'clicks_homepage_medium'}),frozenset({'clicks_forumng_medium'}),0.34108238794867024,0.3392226148409894,0.16589176120513296,0.48636859323882226,1.4337740821519447,0.05018890168897627,1.2864816607023624,0.45914700748902965
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_homepage_medium'}),0.3392226148409894,0.34108238794867024,0.16589176120513296,0.4890350877192982,1.4337740821519447,0.05018890168897627,1.2895554982635464,0.4578547277043715
frozenset({'clicks_oucontent_high'}),frozenset({'clicks_forumng_medium'}),0.3267621350195276,0.3392226148409894,0.10340338478705598,0.3164484917472965,0.9328637829633845,-0.0074417210852926186,0.9666826525598515,-0.09657449516939011
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_oucontent_high'}),0.3392226148409894,0.3267621350195276,0.10340338478705598,0.3048245614035087,0.9328637829633845,-0.0074417210852926186,0.9684431117700172,-0.09821676380793791
frozenset({'clicks_oucontent_low'}),frozenset({'clicks_forumng_medium'}),0.34350009298865536,0.3392226148409894,0.11047052259624326,0.3216025988088793,0.9480576610720087,-0.006052477145491425,0.9740269995121251,-0.07702668797126513
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_oucontent_low'}),0.3392226148409894,0.34350009298865536,0.11047052259624326,0.3256578947368421,0.9480576610720087,-0.006052477145491425,0.9735413255192622,-0.07656624102154823
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_oucontent_medium'}),0.3392226148409894,0.329737771991817,0.12534870745769017,0.36951754385964913,1.1206406279375825,0.013494198230784044,1.0630941772929792,0.16291911963058758
frozenset({'clicks_oucontent_medium'}),frozenset({'clicks_forumng_medium'}),0.329737771991817,0.3392226148409894,0.12534870745769017,0.380146644106035,1.1206406279375822,0.013494198230784044,1.0660221145467934,0.1606136603905321
frozenset({'clicks_quiz_high'}),frozenset({'clicks_forumng_medium'}),0.3269481123302957,0.3392226148409894,0.10507718058396875,0.3213879408418658,0.9474248672734168,-0.005831012998039689,0.9737188961521717,-0.07616921532429544
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_quiz_high'}),0.3392226148409894,0.3269481123302957,0.10507718058396875,0.30975877192982454,0.9474248672734167,-0.005831012998039689,0.9750966188320417,-0.07747450405141111
frozenset({'clicks_quiz_low'}),frozenset({'clicks_forumng_medium'}),0.3362469778687,0.3392226148409894,0.10024177050399852,0.2981194690265487,0.8788313514011798,-0.013820808561002193,0.9414385440248159,-0.17199347474260518
frozenset({'clicks_forumng_medium'}),frozenset({'clicks_quiz_low'}),0.3392226148409894,0.3362469778687,0.10024177050399852,0.2955043859649123,0.8788313514011801,-0.013820808561002193,0.9421677139046623,-0.17263429209351186
frozenset({'clicks_quiz_medium'}),frozenset({'clicks_forumng_medium'}),0.3368049098010043,0.3392226148409894,0.13390366375302212,0.3975704030922142,1.172004417448923,0.019651821559041854,1.0968541196360846,0.2212936997569636
